operator_utterance,spot_requirement_utterance
オペレーター: 一応、沖縄県のどの辺に行かれるとかっての、決まってたりしますか？,カスタマー: とりあえず、無難に那覇にしよう、と思ってます。
オペレーター: では、ほかに何か、やりたいことはございますか？,カスタマー: あとは、沖縄の歴史めぐりみたいのをしたいですね、
オペレーター: こちらもやはり、那覇、周辺がよろしいでしょうか？,カスタマー: でも、けっこう有名なものとか、貴重なものがあったら、少し離れても、大丈夫です。
オペレーター: それか、戦争に関係したような、場所がいくつかあるんですけど。,カスタマー: できれば、琉球王国とかそういう。感じのがいいです。
オペレーター: いかが、なさいますか？もう少々歴史的な場所ですとかをお伝えいたしましょうか？,カスタマー: 他にもありますかね？
オペレーター: ほか、は、ですね、少々お待ちください、やはり、琉球王国、に関連したものがいいですかね？,カスタマー: 沖縄も初心者なので、メジャーなところとか、おっきなところ、有名なところとかを、とりあえず中心に巡りたいですね。
オペレーター: お酒とかって、あまり飲まないですか？,カスタマー: お酒はどちらも飲まないので、食べる。
オペレーター: どのようなりょ、ご旅行を、ご希望ですか。,カスタマー: 家族で夏休みに旅行したいんですけども。高知県に行ってみたいなと思って。
オペレーター: そうですか。,カスタマー: 夫が、行ってみたいって、い、言ってまして。
オペレーター: <>とか。,カスタマー: 子どもが小さいので。
オペレーター: そうですね。,カスタマー: 子どもが遊べる所に。
オペレーター: 承知しました。,カスタマー: 子ども中心でいきたいんです。
オペレーター: これは、プールみたいな形になっちゃうんですけ、季節的にはいかがですか。何月ぐらいが。,カスタマー: 夏休み、8月に行きたいんですけれども。
オペレーター: ご希望、ございますか。,カスタマー: 子どもがやっぱり喜ぶところがいいなと思いますけど。
オペレーター: ない。アス、アスレチックとかはないですね。,カスタマー: 遊ぶ場所があるほうがいいですね。
オペレーター: お食事は、どういったものがいいですか。,カスタマー: 子ども連れでも、あんまり気兼ねなく。
オペレーター: はい。,カスタマー: 入れるとこがいいですけどね。
